experimento,tamanho,otimizacao,algoritmo,bloco,repeticao,tempo_ms,checksum
multiplicacao,512,O2,normal,0,3,264.501741,342226199104.00
multiplicacao,512,O2,blocos,32,3,61.622722,342226199104.00
multiplicacao,512,O2,normal,0,4,271.853664,342226199104.00
multiplicacao,512,O2,blocos,32,4,67.928971,342226199104.00
multiplicacao,512,O2,normal,0,5,277.721985,342226199104.00
multiplicacao,512,O2,blocos,32,5,58.800915,342226199104.00
multiplicacao,512,O2,normal,0,6,268.083610,342226199104.00
multiplicacao,512,O2,blocos,32,6,57.302285,342226199104.00
multiplicacao,512,O2,normal,0,7,274.946657,342226199104.00
multiplicacao,512,O2,blocos,32,7,60.198197,342226199104.00
multiplicacao,512,O2,normal,0,8,268.739625,342226199104.00
multiplicacao,512,O2,blocos,32,8,56.600191,342226199104.00
multiplicacao,512,O2,normal,0,9,272.213552,342226199104.00
multiplicacao,512,O2,blocos,32,9,56.118559,342226199104.00
multiplicacao,512,O2,normal,0,10,274.048931,342226199104.00
multiplicacao,512,O2,blocos,32,10,56.292077,342226199104.00
multiplicacao,128,O3,normal,0,1,1.062700,5339435904.00
multiplicacao,128,O3,blocos,32,1,0.568696,5339435904.00
multiplicacao,128,O3,normal,0,2,1.019002,5339435904.00
multiplicacao,128,O3,blocos,32,2,0.573074,5339435904.00
multiplicacao,128,O3,normal,0,3,1.095021,5339435904.00
multiplicacao,128,O3,blocos,32,3,0.567200,5339435904.00
multiplicacao,128,O3,normal,0,4,1.026827,5339435904.00
multiplicacao,128,O3,blocos,32,4,0.569787,5339435904.00
multiplicacao,128,O3,normal,0,5,1.021632,5339435904.00
multiplicacao,128,O3,blocos,32,5,0.562294,5339435904.00
multiplicacao,128,O3,normal,0,6,1.028376,5339435904.00
multiplicacao,128,O3,blocos,32,6,0.763334,5339435904.00
multiplicacao,128,O3,normal,0,7,1.232998,5339435904.00
multiplicacao,128,O3,blocos,32,7,0.577400,5339435904.00
multiplicacao,128,O3,normal,0,8,1.040049,5339435904.00
multiplicacao,128,O3,blocos,32,8,0.570989,5339435904.00
multiplicacao,128,O3,normal,0,9,1.040537,5339435904.00
multiplicacao,128,O3,blocos,32,9,0.560627,5339435904.00
multiplicacao,128,O3,normal,0,10,1.078413,5339435904.00
multiplicacao,128,O3,blocos,32,10,0.615942,5339435904.00
multiplicacao,256,O3,normal,0,1,8.594308,42756651456.00
multiplicacao,256,O3,blocos,32,1,5.188476,42756651456.00
multiplicacao,256,O3,normal,0,2,8.416509,42756651456.00
multiplicacao,256,O3,blocos,32,2,5.222122,42756651456.00
multiplicacao,256,O3,normal,0,3,8.423563,42756651456.00
multiplicacao,256,O3,blocos,32,3,5.126858,42756651456.00
multiplicacao,256,O3,normal,0,4,8.619248,42756651456.00
multiplicacao,256,O3,blocos,32,4,5.146410,42756651456.00
multiplicacao,256,O3,normal,0,5,8.699625,42756651456.00
multiplicacao,256,O3,blocos,32,5,5.716957,42756651456.00
multiplicacao,256,O3,normal,0,6,9.052594,42756651456.00
multiplicacao,256,O3,blocos,32,6,5.267688,42756651456.00
multiplicacao,256,O3,normal,0,7,8.396933,42756651456.00
multiplicacao,256,O3,blocos,32,7,5.331045,42756651456.00
multiplicacao,256,O3,normal,0,8,8.498690,42756651456.00
multiplicacao,256,O3,blocos,32,8,5.265869,42756651456.00
multiplicacao,256,O3,normal,0,9,8.537489,42756651456.00
multiplicacao,256,O3,blocos,32,9,5.180289,42756651456.00
multiplicacao,256,O3,normal,0,10,8.397145,42756651456.00
multiplicacao,256,O3,blocos,32,10,5.174939,42756651456.00
multiplicacao,512,O3,normal,0,1,269.217909,342226199104.00
multiplicacao,512,O3,blocos,32,1,68.745476,342226199104.00
multiplicacao,512,O3,normal,0,2,274.792264,342226199104.00
multiplicacao,512,O3,blocos,32,2,55.074820,342226199104.00
multiplicacao,512,O3,normal,0,3,273.512750,342226199104.00
multiplicacao,512,O3,blocos,32,3,54.787376,342226199104.00
multiplicacao,512,O3,normal,0,4,270.290161,342226199104.00
multiplicacao,512,O3,blocos,32,4,55.892331,342226199104.00
multiplicacao,512,O3,normal,0,5,270.921174,342226199104.00
multiplicacao,512,O3,blocos,32,5,54.608866,342226199104.00
multiplicacao,512,O3,normal,0,6,274.559549,342226199104.00
multiplicacao,512,O3,blocos,32,6,56.144981,342226199104.00
multiplicacao,512,O3,normal,0,7,277.828482,342226199104.00
multiplicacao,512,O3,blocos,32,7,54.201041,342226199104.00
multiplicacao,512,O3,normal,0,8,272.702719,342226199104.00
multiplicacao,512,O3,blocos,32,8,54.606411,342226199104.00
multiplicacao,512,O3,normal,0,9,273.907549,342226199104.00
multiplicacao,512,O3,blocos,32,9,54.628065,342226199104.00
multiplicacao,512,O3,normal,0,10,273.668958,342226199104.00
multiplicacao,512,O3,blocos,32,10,54.304851,342226199104.00
